,Drug-Gene Pair Cluster,Dependency Path Cluster
973,2.0,0.0
974,22.0,58.0
975,16.0,0.0
976,14.0,93.0
977,23.0,0.0
978,15.0,0.0
979,2.0,0.0
980,26.0,37.0
981,8.0,0.0
982,20.0,0.0
983,11.0,0.0
984,4.0,0.0
985,23.0,0.0
986,12.0,0.0
987,0.0,0.0
988,14.0,0.0
989,25.0,0.0
990,14.0,14.0
991,18.0,14.0
992,23.0,14.0
993,14.0,39.0
994,20.0,0.0
995,10.0,18.0
996,2.0,12.0
997,27.0,0.0
998,18.0,115.0
999,2.0,115.0
1000,19.0,115.0
1001,23.0,67.0
1002,18.0,0.0
1003,23.0,0.0
1004,2.0,0.0
1005,24.0,52.0
1006,15.0,0.0
1007,2.0,0.0
1008,2.0,0.0
1009,0.0,87.0
1010,2.0,67.0
1011,23.0,0.0
1012,2.0,102.0
1013,14.0,121.0
1014,14.0,86.0
1015,9.0,87.0
1016,2.0,87.0
1017,7.0,87.0
1018,22.0,86.0
1019,23.0,86.0
1020,2.0,67.0
1021,16.0,121.0
1022,11.0,51.0
1023,18.0,87.0
1024,0.0,121.0
1025,18.0,87.0
1026,8.0,20.0
1027,22.0,121.0
1028,17.0,121.0
1029,2.0,24.0
1030,2.0,87.0
1031,23.0,86.0
1032,14.0,87.0
1033,4.0,87.0
1034,15.0,121.0
1035,26.0,121.0
1036,6.0,87.0
1037,10.0,121.0
1038,14.0,87.0
1039,19.0,32.0
1040,14.0,0.0
1041,20.0,111.0
1042,14.0,0.0
1043,1.0,27.0
1044,14.0,0.0
1045,3.0,102.0
1046,23.0,0.0
1047,2.0,81.0
1048,0.0,113.0
1049,28.0,102.0
1050,14.0,81.0
1051,28.0,119.0
1052,15.0,81.0
1053,2.0,54.0
1054,1.0,102.0
1055,18.0,85.0
1056,9.0,84.0
1057,28.0,81.0
1058,18.0,53.0
1059,22.0,85.0
1060,17.0,109.0
1061,2.0,19.0
1062,25.0,109.0
1063,18.0,92.0
1064,14.0,113.0
1065,14.0,81.0
1066,18.0,43.0
1067,18.0,81.0
1068,27.0,65.0
1069,14.0,81.0
1070,18.0,81.0
1071,3.0,85.0
1072,17.0,85.0
1073,24.0,22.0
1074,3.0,58.0
1075,18.0,81.0
1076,22.0,34.0
1077,23.0,81.0
1078,25.0,81.0
1079,2.0,81.0
1080,1.0,1.0
1081,4.0,47.0
1082,23.0,81.0
1083,18.0,29.0
1084,0.0,81.0
1085,2.0,123.0
1086,2.0,42.0
1087,14.0,123.0
1088,8.0,27.0
1089,8.0,81.0
1090,13.0,81.0
1091,0.0,7.0
1092,28.0,56.0
1093,4.0,81.0
1094,5.0,53.0
1095,10.0,0.0
1096,23.0,0.0
1097,20.0,0.0
1098,1.0,0.0
1099,23.0,0.0
1100,23.0,0.0
1101,18.0,16.0
1102,2.0,0.0
1103,23.0,0.0
1104,23.0,0.0
1105,2.0,0.0
1106,23.0,0.0
1107,8.0,119.0
1108,14.0,0.0
1109,23.0,0.0
1110,12.0,0.0
1111,9.0,0.0
1112,26.0,0.0
1113,15.0,0.0
1114,18.0,0.0
1115,2.0,38.0
1116,13.0,0.0
1117,9.0,0.0
1118,14.0,0.0
1119,24.0,21.0
1120,19.0,0.0
1121,10.0,0.0
1122,14.0,0.0
1123,14.0,0.0
1124,2.0,0.0
1125,23.0,0.0
1126,23.0,0.0
1127,26.0,0.0
1128,18.0,0.0
1129,18.0,0.0
1130,14.0,67.0
1131,15.0,0.0
1132,7.0,38.0
1133,2.0,24.0
1134,18.0,117.0
1135,18.0,117.0
1136,18.0,38.0
1137,2.0,0.0
1138,23.0,0.0
1139,2.0,0.0
1140,28.0,0.0
1141,22.0,40.0
1142,23.0,99.0
1143,10.0,0.0
1144,2.0,20.0
1145,0.0,0.0
1146,23.0,0.0
1147,14.0,0.0
1148,3.0,17.0
1149,23.0,0.0
1150,22.0,0.0
1151,23.0,0.0
1152,23.0,0.0
1153,23.0,0.0
1154,23.0,73.0
1155,26.0,86.0
1156,0.0,67.0
1157,16.0,0.0
1158,18.0,0.0
1159,23.0,0.0
1160,14.0,0.0
1161,12.0,0.0
1162,28.0,103.0
1163,2.0,103.0
1164,6.0,110.0
1165,22.0,0.0
1166,28.0,110.0
1167,25.0,0.0
1168,2.0,16.0
1169,15.0,119.0
1170,0.0,80.0
1171,2.0,80.0
1172,18.0,0.0
1173,14.0,0.0
1174,23.0,0.0
1175,14.0,0.0
1176,14.0,0.0
1177,14.0,0.0
1178,23.0,0.0
1179,11.0,116.0
1180,23.0,80.0
1181,22.0,0.0
1182,2.0,99.0
1183,18.0,23.0
1184,23.0,54.0
1185,10.0,119.0
1186,21.0,122.0
1187,2.0,24.0
1188,18.0,24.0
1189,2.0,0.0
1190,18.0,0.0
1191,14.0,97.0
1192,14.0,0.0
1193,23.0,31.0
1194,2.0,4.0
1195,14.0,108.0
1196,4.0,38.0
1197,2.0,115.0
1198,1.0,54.0
1199,23.0,97.0
1200,14.0,97.0
1201,13.0,93.0
1202,23.0,44.0
1203,0.0,97.0
1204,14.0,59.0
1205,7.0,0.0
1206,5.0,85.0
1207,19.0,85.0
1208,2.0,0.0
1209,18.0,79.0
1210,6.0,114.0
1211,8.0,0.0
1212,14.0,0.0
